2024-01-24T11:25:09.710Z [info] ::ffff:127.0.0.1:/ | GET
2024-01-24T12:16:23.230Z [info] ::ffff:127.0.0.1:/ | GET
2024-01-29T19:41:16.845Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-01-29T19:43:36.990Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-01-29T19:46:07.482Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-01-30T20:25:05.553Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-22T19:49:36.138Z [info] ::ffff:127.0.0.1:/ | GET

2024-02-22T19:49:36.476Z [info] ::ffff:127.0.0.1:/ | GET

2024-02-22T19:49:44.101Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-26T11:46:23.379Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-26T11:47:25.709Z [info] ::ffff:127.0.0.1:/sc-admin/dashboard | GET

2024-02-26T11:54:11.480Z [info] ::ffff:127.0.0.1:/sc-admin/dashboard | GET

2024-02-26T12:10:56.582Z [info] ::ffff:127.0.0.1:/sc-admin/dashboard | GET

2024-02-26T12:11:43.175Z [info] ::ffff:127.0.0.1:/sc-admin/dashboard | GET

2024-02-26T12:11:48.308Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-26T12:19:20.656Z [info] ::ffff:127.0.0.1:/sc-admin/dashboard | GET

2024-02-26T12:19:24.797Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-26T12:22:10.461Z [info] ::ffff:127.0.0.1:/sc-admin/dashboard | GET

2024-02-26T12:22:16.609Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T11:02:29.674Z [info] ::ffff:127.0.0.1:/sc-admin/dashboard | GET

2024-02-27T11:02:32.357Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T11:03:17.164Z [info] ::ffff:127.0.0.1:/sc-admin/dashboard | GET

2024-02-27T11:03:22.005Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T11:03:42.516Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T11:03:47.173Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T11:04:33.113Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T11:04:37.573Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T11:07:19.507Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T11:07:24.483Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T11:07:41.718Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T11:07:42.188Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T17:15:00.118Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T17:15:00.981Z [info] ::ffff:127.0.0.1:/load-admin-pages//js/dashboard-js/pages/dashboard.ejs | GET

2024-02-27T17:15:01.067Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T17:15:53.312Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T17:15:55.472Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T17:16:00.703Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T17:16:03.534Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T17:24:05.785Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T17:24:07.767Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T17:24:56.001Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T17:24:58.160Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T17:28:04.597Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T17:28:07.160Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-02-27T17:28:14.951Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-02-27T17:28:15.753Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

